access,reuse distance for all0,reuse distance for all1,reuse distance for all2
547,0,41,128
548,1,35,148
549,0,59,154
550,0,26,141
551,0,28,121
552,0,21,161
553,0,14,151
554,1,25,168
555,1,27,129
556,0,36,151
557,0,31,117
558,0,50,121
559,0,74,109
560,1,63,109
561,0,72,116
562,0,85,144
563,0,66,140
564,0,64,159
565,0,18,152
566,0,20,147
567,0,34,123
568,0,23,121
569,0,16,129
570,0,34,136
571,0,47,125
572,0,44,139
573,0,47,164
574,0,56,141
575,0,44,182
576,0,35,126
577,0,37,101
578,0,29,131
579,0,54,111
580,0,52,111
581,0,52,107
582,0,47,104
583,0,22,103
584,0,32,103
585,0,28,104
586,0,29,95
587,0,10,101
588,0,20,86
589,0,25,94
590,0,17,90
591,0,16,105
592,0,18,112
593,0,13,124
594,0,15,134
595,2,23,124
596,0,18,101
597,0,18,100
598,0,22,124
599,0,21,106
600,2,14,84
601,0,8,118
602,0,6,124
603,0,17,105
604,0,9,110
605,1,10,131
606,3,23,144
607,4,14,151
608,2,12,112
609,2,22,115
610,1,26,125
611,3,16,95
612,1,14,113
613,2,21,129
614,2,32,150
615,2,16,129
616,1,15,134
617,0,9,100
618,0,28,106
619,1,36,105
620,1,34,100
621,0,47,113
622,0,32,93
623,1,25,107
624,0,13,89
625,0,19,103
626,0,11,112
627,0,11,113
628,0,4,111
629,0,7,91
630,0,12,95
631,0,3,112
632,0,8,99
633,0,10,106
634,0,15,101
635,0,6,113
636,0,5,82
637,0,5,110
638,0,4,96
639,0,7,78
640,0,8,94
641,0,6,112
642,0,7,99
643,0,11,106
644,1,6,107
645,1,2,101
646,0,2,114
647,0,8,103
648,0,13,94
649,0,12,78
650,0,8,62
651,1,0,82
652,0,7,84
653,0,11,88
654,0,2,92
655,0,1,94
656,0,5,94
657,0,8,67
658,1,2,84
659,0,3,82
660,1,4,97
661,0,4,95
662,0,5,86
663,1,9,80
664,0,12,67
665,0,7,76
666,1,5,85
667,0,1,92
668,0,3,103
669,0,8,87
670,0,10,81
671,0,5,79
672,0,7,96
673,0,23,69
674,0,17,69
675,0,5,53
676,0,5,48
677,0,11,88
678,0,13,76
679,1,9,83
680,0,6,99
681,0,14,86
682,0,6,55
683,0,8,88
684,0,3,76
685,0,4,61
686,0,4,74
687,0,13,94
688,0,7,63
689,0,5,78
690,0,6,81
691,0,4,82
692,0,9,76
693,0,6,69
694,0,9,75
695,0,15,76
696,0,4,72
697,0,2,71
698,0,2,65
699,0,0,66
700,0,3,76
701,0,3,84
702,0,3,75
703,0,2,70
704,0,2,64
705,0,6,92
706,1,6,95
707,0,5,108
708,1,3,111
709,0,1,87
710,0,5,80
711,0,13,83
712,0,1,58
713,0,4,56
714,0,3,46
715,0,1,63
716,0,2,50
717,0,5,72
718,0,0,40
719,0,3,49
720,1,2,60
721,0,7,59
722,0,10,67
723,0,9,77
724,0,5,63
725,0,0,62
726,0,7,53
727,0,4,44
728,0,1,33
729,0,1,57
730,0,4,43
731,0,1,47
732,0,1,65
733,0,7,70
734,0,13,48
735,0,5,63
736,0,5,48
737,0,10,38
738,0,6,74
739,0,8,59
740,0,18,46
741,0,15,56
742,1,12,68
743,0,9,60
744,0,5,47
745,0,5,63
746,0,8,50
747,0,3,51
748,0,6,41
749,0,5,54
750,0,7,43
751,0,14,49
752,1,11,54
753,0,6,54
754,0,9,52
755,0,2,69
756,0,0,44
757,0,2,63
758,0,1,49
759,0,1,42
760,0,1,33
761,0,3,69
762,0,0,60
763,0,2,53
764,1,3,41
765,0,4,53
766,0,2,43
767,0,3,36
768,0,1,44
769,0,2,63
770,1,4,43
771,0,4,43
772,0,3,26
773,0,5,43
774,0,11,45
775,0,9,59
776,0,6,62
777,0,10,66
778,0,11,44
779,0,10,41
780,0,2,49
781,0,2,30
782,0,2,38
783,0,1,36
784,0,1,49
785,0,2,41
786,0,2,50
787,0,1,55
788,0,2,70
789,0,0,49
790,0,1,41
791,0,2,40
792,0,5,49
793,0,4,34
794,0,13,34
795,0,6,36
796,0,3,36
797,0,9,33
798,0,5,26
799,0,6,28
800,0,8,31
801,0,6,35
802,0,4,46
803,0,3,53
804,0,0,38
805,0,4,51
806,0,3,29
807,0,5,26
808,0,2,31
809,0,7,46
810,0,2,49
811,0,3,29
812,0,8,27
813,0,9,30
814,0,7,39
815,0,3,23
816,0,4,17
817,0,8,28
818,0,5,32
819,0,3,37
820,0,8,43
821,0,3,41
822,0,12,62
823,0,13,62
824,0,9,48
825,0,11,31
826,0,17,34
827,0,17,32
828,0,2,41
