access,capacity0,capacity1,reuse distance for all0,reuse distance for all1,eviction0,eviction1
445,0,0,9,0,78,27
446,0,0,9,0,207,15
447,0,0,0,0,139,18
448,0,0,9,0,144,36
449,0,0,3,0,171,9
450,0,0,0,0,167,24
451,0,0,3,0,145,24
452,0,0,3,0,117,12
453,0,0,9,0,117,15
454,0,0,9,0,100,27
455,0,0,9,0,85,9
456,0,0,15,0,140,9
457,0,0,6,0,102,12
458,0,0,18,0,108,27
459,0,0,3,0,146,6
460,0,0,6,0,170,30
461,0,0,0,0,174,9
462,0,0,6,0,61,18
463,0,0,9,0,111,9
464,0,0,9,0,98,12
465,0,0,12,0,89,3
466,0,0,12,0,152,6
467,0,0,0,0,178,12
468,0,0,9,0,125,12
469,0,0,6,0,126,18
470,0,0,6,0,129,9
471,0,2,3,0,103,18
472,0,1,6,0,109,9
473,0,0,0,0,114,6
474,0,1,6,0,109,21
475,0,0,6,0,90,27
476,0,0,6,0,141,18
477,0,0,9,0,92,18
478,0,0,12,0,106,6
479,0,0,6,0,109,15
480,0,0,6,0,128,15
481,0,0,9,0,152,9
482,0,0,0,0,108,3
483,0,0,9,0,131,15
484,0,0,0,0,108,9
485,0,0,21,0,98,18
486,0,0,3,0,68,12
487,0,0,6,0,90,9
488,0,0,0,0,101,6
489,0,0,9,0,124,6
490,0,0,3,0,115,21
491,0,0,12,0,119,12
492,0,0,3,0,102,9
493,0,0,3,0,103,24
494,0,0,3,0,106,9
495,0,0,12,0,103,12
496,0,0,6,0,160,12
497,0,0,3,0,156,24
498,0,0,6,0,95,12
499,0,0,9,0,79,12
500,0,0,6,0,81,18
501,0,0,6,0,69,24
502,0,0,6,0,123,15
503,0,0,6,0,101,15
504,0,0,9,0,133,12
505,0,0,6,0,82,15
506,0,1,6,0,107,15
507,0,0,3,0,123,12
508,0,0,9,0,102,21
509,0,0,3,0,149,12
510,0,0,0,0,193,21
511,0,1,6,0,145,12
512,0,0,0,0,155,15
513,0,0,0,0,147,21
514,0,0,0,0,68,9
515,0,1,3,0,83,21
516,0,0,3,0,133,9
517,0,0,0,0,83,15
518,0,0,15,0,59,12
519,0,0,3,0,43,12
520,0,1,0,0,59,3
521,0,1,6,0,59,15
522,0,0,12,0,81,15
523,0,0,9,0,107,9
524,0,0,3,0,75,9
525,0,0,3,0,71,15
